admin4pcode,month,beneficiaries,cluster
C1032,feb,210,Food
C1032,jan,1705,Food
C1032,mar,510,Food
C1033,feb,135,Food
C1033,jan,460,Food
C1035,feb,50,Food
C1035,jan,1780,Food
C1035,mar,250,Food
C1036,feb,40,Food
C1036,jan,1450,Food
C1037,jan,1055,Food
C1038,jan,3252,Food
C1138,feb,105,Food
C1139,feb,620,Food
C1139,jan,9387,Food
C1142,feb,100,Food
C1142,jan,650,Food
C1143,feb,100,Food
C1143,jan,1770,Food
C1149,feb,5,Food
C1149,jan,1690,Food
C1187,jan,1005,Food
C1188,feb,55,Food
C1188,jan,1500,Food
C1198,jan,399,Food
C1202,feb,2430,Food
C1202,jan,3220,Food
C1209,feb,2770,Food
C1209,jan,1795,Food
C1219,jan,730,Food
C1250,feb,2440,Food
C1359,jan,5,Food
C1363,jan,5,Food
C1364,apr,455,Food
C1365,jan,1539,Food
C1366,apr,185,Food
C1366,feb,1350,Food
C1366,jan,454,Food
C1366,mar,4835,Food
C1367,jan,24,Food
C1378,apr,325,Food
C1381,jan,717,Food
C1382,jan,23,Food
C1391,apr,1420,Food
C1391,jan,1560,Food
C1391,mar,1645,Food
C1392,jan,585,Food
C1393,jan,45,Food
C1394,jan,535,Food
C1394,mar,220,Food
C1395,jan,295,Food
C1395,mar,40,Food
C1396,jan,350,Food
C1397,jan,165,Food
C1397,mar,75,Food
C1398,jan,445,Food
C1400,jan,190,Food
C1401,jan,395,Food
C1402,jan,85,Food
C1402,mar,30,Food
C1403,jan,275,Food
C1404,jan,345,Food
C1404,mar,75,Food
C1406,jan,505,Food
C1406,mar,35,Food
C1407,jan,85,Food
C1407,mar,50,Food
C1408,jan,100,Food
C1408,mar,50,Food
C1409,jan,155,Food
C1410,jan,70,Food
C1410,mar,45,Food
C1411,jan,65,Food
C1412,jan,245,Food
C1412,mar,20,Food
C1413,jan,480,Food
C1413,mar,50,Food
C1414,jan,355,Food
C1414,mar,50,Food
C1415,jan,95,Food
C1415,mar,75,Food
C1416,jan,785,Food
C1416,mar,40,Food
C1417,jan,180,Food
C1418,jan,295,Food
C1418,mar,35,Food
C1420,jan,265,Food
C1421,jan,635,Food
C1422,jan,990,Food
C1423,jan,1380,Food
C1424,jan,1920,Food
C1426,feb,21525,Food
C1426,jan,2500,Food
C1427,jan,405,Food
C1428,jan,236,Food
C1429,jan,800,Food
C1430,jan,401,Food
C1431,jan,791,Food
C1432,jan,156,Food
C1434,jan,466,Food
C1436,jan,433,Food
C1437,jan,715,Food
C1438,jan,305,Food
C1442,jan,8,Food
C1444,jan,1460,Food
C1445,jan,174,Food
C1447,apr,490,Food
C1447,mar,490,Food
C1449,apr,1630,Food
C1449,jan,2250,Food
C1449,mar,1150,Food
C1451,jan,250,Food
C1452,jan,796,Food
C1454,jan,207,Food
C1457,jan,1133,Food
C1458,jan,79,Food
C1460,jan,764,Food
C1461,jan,362,Food
C1464,jan,210,Food
C1465,jan,2,Food
C1468,jan,543,Food
C1469,jan,802,Food
C1480,jan,5,Food
C1481,jan,528,Food
C1484,feb,750,Food
C1484,mar,1250,Food
C1487,jan,752,Food
C1491,jan,809,Food
C1493,jan,6,Food
C1497,feb,300,Food
C1497,jan,3994,Food
C1497,mar,228,Food
C1501,jan,21,Food
C1505,jan,7,Food
C1506,jan,405,Food
C1510,jan,13,Food
C1518,jan,39,Food
C1520,jan,940,Food
C1521,mar,1350,Food
C1522,jan,7,Food
C1524,apr,1260,Food
C1524,jan,36,Food
C1524,mar,1445,Food
C1525,apr,1560,Food
C1525,feb,2500,Food
C1525,mar,1670,Food
C1526,apr,115,Food
C1526,mar,115,Food
C1527,apr,135,Food
C1527,mar,135,Food
C1528,apr,165,Food
C1528,mar,165,Food
C1529,apr,155,Food
C1529,mar,155,Food
C1530,apr,140,Food
C1530,mar,145,Food
C1531,apr,65,Food
C1531,mar,65,Food
C1532,apr,50,Food
C1532,mar,50,Food
C1533,apr,35,Food
C1533,mar,35,Food
C1534,apr,25,Food
C1534,mar,25,Food
C1535,apr,500,Food
C1535,jan,655,Food
C1535,mar,525,Food
C1537,jan,8,Food
C1538,jan,180,Food
C1538,mar,250,Food
C1542,jan,9,Food
C1542,mar,800,Food
C1543,apr,660,Food
C1543,jan,2345,Food
C1543,mar,625,Food
C1544,jan,16,Food
C1545,jan,119,Food
C1547,apr,940,Food
