district,sub_district,community,Cash,Education,FSL,Nutrition,Protection,SNFI,WASH,CCCM,ERL,beneficiary_frequencies,total_pop,admin4pcode
Menbij,Menbij,Big Abu Jadha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,C1759
Menbij,Menbij,Tayha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,C1760
Menbij,Menbij,Little Jern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860,C1761
Menbij,Menbij,Oshrieh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390,C1762
Menbij,Menbij,Lower Majra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660,C1763
Menbij,Menbij,Hudhud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140,C1764
Menbij,Menbij,Mgheirat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,C1765
Menbij,Menbij,Menbij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154660,C1767
Menbij,Menbij,Karsan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2625,C1768
Menbij,Menbij,Qanat Elghrra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2230,C1769
Menbij,Menbij,Mostarihet Jafatlak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035,C1770
Menbij,Menbij,Qatmet Manbaj - Qatma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,C1771
Menbij,Menbij,Manilla Asaad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,C1772
Menbij,Menbij,Upper Majra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,C1773
Menbij,Menbij,Middle Warideh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,870,C1774
Menbij,Menbij,Mashrafet Elbweir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,C1775
Menbij,Menbij,Nahliya - Nahliya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125,C1776
Menbij,Menbij,Nejem Castle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,C1777
Menbij,Menbij,Muqbilet Elbireh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,C1778
Menbij,Menbij,Bir Quraa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,C1779
Menbij,Menbij,Little Madneh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,C1780
Menbij,Menbij,Big Madneh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1065,C1781
Menbij,Menbij,Big Mohtaraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,C1782
Menbij,Menbij,Big Kaber - Big Kaberjeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055,C1783
Menbij,Menbij,Little Mohtaraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,C1784
Menbij,Menbij,Qaber Imu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,C1785
Menbij,Menbij,Labda - Milo Yran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,C1786
Menbij,Menbij,Maqtala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,C1787
Menbij,Menbij,Moruh Manbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125,C1788
Menbij,Menbij,Moaysera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,C1789
Menbij,Menbij,Little Kaber - Little Kaberjeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,C1790
Menbij,Menbij,Qabab Bonyeh - Qarajleh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,C1791
Menbij,Menbij,Big Maqtaa Elhajar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595,C1792
Menbij,Menbij,Middle Majra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,C1793
Menbij,Menbij,Little Maqtaa Elhajar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,C1794
Menbij,Menbij,Miloyran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,C1795
Menbij,Menbij,Um Elsafa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,C6335
Menbij,Menbij,Om Adas Fars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2135,C6431
Menbij,Menbij,Qanat Shekh Tabbash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,C6432
Menbij,Menbij,Al Zakieh Al Khafsef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,C7434
Menbij,Menbij,Shraqi \ Qarah Shuki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,C7503
Menbij,Menbij,Khirbet Ayyoush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,C7526
Menbij,Menbij,Al Mustarihah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,C8111
Menbij,Menbij,Qanat Ash Sheikh \ Haj Abdin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,C8186
Menbij,Menbij,Nawaja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,C8192
Menbij,Menbij,Al Sarb (Menbij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,C8197
Menbij,Menbij,Al Khataf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,C8198
Jarablus,Jarablus,Maghayer - Qorq Mghar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581,C2218
Jarablus,Jarablus,Lower Um Rotha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,C2223
Jarablus,Jarablus,Al Muwass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,C7554
Jarablus,Jarablus,Jat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,C8243
Jarablus,Jarablus,Bait Hussain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,C8274
Jarablus,Ghandorah,Sheib,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,C2253
Jarablus,Ghandorah,Buslijah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,C7520
Jarablus,Ghandorah,Muhalmiyah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,C7609
Jarablus,Ghandorah,Mazraat Haydar Pasha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,C7610
Jarablus,Ghandorah,Ras Al Joz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,C7619
Jarablus,Ghandorah,Byt Hajj Kanu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,C7624
As-Suqaylabiyah,Ziyara,Sindyana (Ziyara),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C3151
As-Suqaylabiyah,Ziyara,Ein Elhamam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,C3152
As-Suqaylabiyah,Ziyara,Sefsaf (Ziyara),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,C3153
As-Suqaylabiyah,Ziyara,Lower Amiqa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C3154
As-Suqaylabiyah,Ziyara,Ankawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C3155
As-Suqaylabiyah,Ziyara,Doqmaq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,C3156
As-Suqaylabiyah,Ziyara,Tal Wassit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,C3157
As-Suqaylabiyah,Ziyara,Dweir Elakrad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C3158
As-Suqaylabiyah,Ziyara,Sarmaniya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C3159
As-Suqaylabiyah,Ziyara,Mansura (Ziyara),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,C3160
